code,month_label,rental_percentage
1001,1,0.000933205264710385
1001,2,0.001008403119261684
1001,3,0.0010098334909803975
1001,4,0.0006763821086249066
1001,5,0.0010968067814401085
1001,6,0.0014969897663445145
1001,7,0.0013874289185473942
1001,8,0.001386892183226328
1001,9,0.0014744632969186204
1001,10,0.0014281841257192986
1001,11,0.0009956102230290035
1001,12,0.0008906436855038765
1002,1,0.0005413600756694309
1002,2,0.0005925441117493122
1002,3,0.0006497697013520197
1002,4,0.000666418041383442
1002,5,0.0006545661073409558
1002,6,0.0007344455872875122
1002,7,0.0007502487450428849
1002,8,0.0006928638308052507
1002,9,0.0007709871675466593
1002,10,0.0007107376728043699
1002,11,0.0005824557482155322
1002,12,0.0004532363906752435
1003,1,0.0005352279099523054
1003,2,0.000585336630309376
1003,3,0.0006321757955797245
1003,4,0.0004010440644578793
1003,5,0.0006364664654709373
1003,6,0.0005725748233435608
1003,7,0.0006934794110098901
1003,8,0.0007292038548079381
1003,9,0.0006415001275507837
1003,10,0.0005643588751674013
1003,11,0.0005204996531917138
1003,12,0.0006153425346235087
1004,1,0.0006350650506165968
1004,2,0.0005760423328134271
1004,3,0.0005877692242146953
1004,4,0.00043613892355174634
1004,5,0.000797486449259974
1004,6,0.0007821426378199968
1004,7,0.0007380267689424563
1004,8,0.0006660041759813446
1004,9,0.0006733498624074291
1004,10,0.0007238410308178023
1004,11,0.0005651064187798048
1004,12,0.0004614692015784251
1006,1,0.00037129768141335546
1006,2,0.0004344200198102959
1006,3,0.00046064427896906493
1006,4,0.00028228575488189236
1006,5,0.0005403860850112511
1006,6,0.0006296527520648655
1006,7,0.0007302999109272373
1006,8,0.0006059081805686967
1006,9,0.0005594805390964779
1006,10,0.0005609441850937705
1006,11,0.0004835655187750308
1006,12,0.00041788204884583694
1007,1,3.119910645759106e-05
1007,2,9.118097600116711e-05
1007,3,0.00011442406933183209
1007,4,4.2690587949095415e-05
1007,5,9.97922159830665e-05
1007,6,0.0001280323144831747
1007,7,0.00010958119862546623
1007,8,8.217790371587553e-05
1007,9,0.0001135009953377674
1007,10,0.00015350445157503377
1007,11,7.183795216572192e-05
1007,12,5.5892320903219904e-05
1007.<U+C554><U+C0AC>,1,6.713225683962313e-05
1007.<U+C554><U+C0AC>,2,0.00011287497065250763
1007.<U+C554><U+C0AC>,3,5.339841122684554e-05
1007.<U+C554><U+C0AC>,4,6.809411036119984e-05
1007.<U+C554><U+C0AC>,5,7.688035366826454e-05
1007.<U+C554><U+C0AC>,12,4.511894995898277e-05
1008,1,0.0009917852064206777
1008,2,0.0010874816325111764
1008,3,0.0011687791282725415
1008,4,0.0008620232603449331
1008,5,0.0012244818190586526
1008,6,0.0012739671599043783
1008,7,0.0012655022355069403
1008,8,0.0011446219230682557
1008,9,0.0010904846529208633
1008,10,0.0011033060932101432
1008,11,0.0010159553226739462
1008,12,0.0011471688211484204
1009,1,0.0015234625834296524
1009,2,0.0016238580753167777
1009,3,0.0016620869448487157
1009,4,0.0018546969756459033
