code,office,borough,address,latitude,longitude,install_date,LCD,QR,type
452,동대문 종합시장 버스정류장,종로구, 종로구 종로5가 11-2,37.571239,127.00441,23/10/2018,13,,LCD
453,종로오가 지하쇼핑센터 14번출구,종로구,종로5가 82-1 ,37.57114,127.000671,31/08/2018,10,,LCD
454,종로2가 버스정류장 (종각방향),종로구, 종로구 종로 79-1,37.570358,126.986382,31/08/2018,13,,LCD
455,삼익한의원,종로구,종로구 종로5가 269-3,37.570961,127.006058,30/08/2018,8,,LCD
456,숭인2동 주민센터 입구 (이강3대냉면),종로구, 종로구 숭인동 183-2,37.574471,127.019829,30/08/2018,10,,LCD
457,종로꽃시장 입구 옆,종로구,종로구 종로6가 94-1,37.57132,127.00721,30/08/2018,10,,LCD
458,광화문역 5번출구,종로구,종로구 세종로 1-68 ,37.569939,126.977539,31/08/2018,21,,LCD
461,서울지방경찰청,종로구,종로구 내자동 186-3 ,37.574364,126.972366,29/10/2018,10,,LCD
462,신영동삼거리(북악터널방향),종로구,종로구 평창문화로 6-4,37.603512,126.962067,20/06/2019,15,,LCD
464,삼청동 골목,종로구,종로구 팔판길 46,37.58419,126.981697,16/08/2019,10,,LCD
465,삼청공원 앞,종로구,서울특별시 종로구 삼청동 25-32,37.587605,126.983597,20/11/2019,5,,LCD
486,평창동주민센터 앞,종로구,서울특별시 종로구 평창동 187-2,,,11/03/2020,5,,LCD
3401,창신두산아파트,종로구,종로구 지봉로5길 7,37.573761,127.013939,11/06/2020,,10,QR
3402,이화공영주차장,종로구,율곡로19길 17-3,37.576607,127.00557,19/04/2020,,10,QR
3403,서울특별시 교육청,종로구,종로구 송월길48,37.569508,126.967011,26/02/2020,,10,QR
3404,서울특별시 중부교육지원청,종로구,종로구 대학로 10,37.571854,127.002358,03/02/2020,,15,QR
3405,파크팰리스,종로구,사직로8길20(내수동95),37.574551,126.970551,11/02/2020,,12,QR
3406,세종로공원,종로구,세종로79-12,37.574059,126.9758,08/05/2020,,20,QR
3407,안국동사거리(신),종로구,안국동175-92,37.575806,126.983391,10/02/2020,,15,QR
3408,종로타워빌딩,종로구,공평동70-4,37.570511,126.983368,10/02/2020,,13,QR
