code,office,borough,address,latitude,longitude,install_date,LCD,QR,type
788,????? 2??? ?,???,??? ???3? 57,37.51237869,126.8655548,06/03/2020,,15 ,QR
790,???? ???,???,??? ??? 455-5 ,37.52760696,126.8487549,11/03/2020,,40 ,QR
791,???????,???,???300(205?? ????),37.52490616,126.8697891,13/03/2020,,15 ,QR
792,??????? ??????,???,???299(??? ????),37.52537155,126.8709259,13/03/2020,,20 ,QR
793,??5????? 534?,???,????? ??? ???? 350 ?????????5??,37.53302002,126.8778992,12/03/2020,,15 ,QR
794,??????,???,??? ??? 323-1,37.51684189,126.8629532,20/04/2020,,10 ,QR
795,?? ?????,???,??? ??? 327-4,37.51584244,126.8641129,20/04/2020,,10 ,QR
796,????? 14?? B?? ?,???,??? ??? 330,37.5146637,126.8719406,20/04/2020,,10 ,QR
797,????? 1422? 1434? ???,???,??? ??? 332-2,37.51515579,126.8724899,20/04/2020,,10 ,QR
800,???? ?,???,????? ??? ???4? 109-10,37.53243256,126.9547424,29/06/2016,15,,LCD
802,???? 2? ?? ?,???,????? ??? ??? 726-494,37.54115295,127.0022125,29/06/2016,10,,LCD
803,???? ? ????,???,????? ??? ??? 725-17,37.53813934,127.004097,29/06/2016,10,,LCD
805,??????? ?,???,????? ??? ??? 34-10,37.53675842,126.9700012,29/06/2016,9,,LCD
806,???? ?? ?,???,????? ??? ???3? 16-8,37.5330658,126.9607315,29/06/2016,20,,LCD
807,??? 12? ?? ?,???,????? ??? ??? 14-229,37.55227661,126.9726868,29/06/2016,10,,LCD
808,???? ???? ?,???,????? ??? ???? 235-5,37.520504,126.9897385,29/06/2016,10,,LCD
809,?? ??? ?????,???,????? ??? ???? 18,37.53016663,127.0074387,29/06/2016,10,,LCD
810,???????,???,????? ??? ???2? 5-1812,37.53841019,126.9866486,29/06/2016,10,,LCD
811,????1???,???,????? ??? ???2? 6-7,37.53507996,126.9853821,29/06/2016,20,,LCD
812,???????,???,????? ??? ???1? 8-4,37.53483963,126.9776611,29/06/2016,20,,LCD
813,???? 3???,???,????? ??? ???1? 228-1,37.53351212,126.9722748,29/06/2016,20,,LCD
815,LIG????? 103??,???,????? ??? ???301-5,37.51850891,126.9787979,29/06/2016,20,,LCD
816,???? 6??? ?,???,????? ??? ???? 115,37.53014755,126.968483,06/07/2016,15,,LCD
817,???? 4??? ?,???,????? ??? ???? 161,37.53345108,126.9717331,06/07/2016,9,,LCD
818,???? ?? ???,???,????? ??? ???47? 100,37.54489517,126.9693832,06/07/2016,15,,LCD
819,????? ????,???,????? ??? ???97? 33-4,37.54165268,126.9705048,06/07/2016,12,,LCD
820,????? ???,???,????? ??? ???? 349,37.54902649,126.9719467,06/07/2016,10,,LCD
822,??1? ????,???,????? ??? ??? 219,37.52204132,126.9655228,06/07/2016,10,,LCD
823,??????? ?,???,????? ??? ??? 255-17 ?,37.54232025,126.9619598,06/07/2016,10,,LCD
825,???? ???? ?,???,????? ??? ???? 279,37.52033615,126.9942627,06/07/2016,15,,LCD
826,??? ?????2,??,????? ?? ???1? 22-1,37.55536652,126.9686432,03/08/2017,20,,LCD
827,?????,???,????? ??? ????? 54-99,37.54188538,126.97966,28/11/2017,20,,LCD
828,????? 8?,???,????? ??? ???? 289,37.54407883,126.9720001,28/11/2017,7,,LCD
829,?????,???,????? ??? ???? 23,37.52293015,126.9616928,28/11/2017,40,,LCD
830,????????,???,????? ??? ??? 35,37.53442383,126.9485703,28/11/2017,10,,LCD
831,?????????,???,????? ??? ???? 134,37.53427887,126.9885635,28/11/2017,15,,LCD
832,??1? ???? ?,???,????? ??? ???71? 24,37.5212822,126.973465,22/12/2017,15,,LCD
834,?????? 3??? ?,???,????? ??? ??? ?? 287,37.53900909,126.96138,22/12/2017,15,,LCD
835,??? ???,???,????? ??? ????77? 18,37.54198074,126.9715424,22/12/2017,10,,LCD
836,???????? ?,???,????? ??? ??? 74,37.53142166,126.9514999,22/12/2017,15,,LCD
837,????? ??,???,????? ??? ???? 417,37.52906036,127.0067291,22/12/2017,10,,LCD
838,????? 4???,???,????? ??? ??? 19-8,37.5444603,126.9723892,14/12/2018,8,,LCD
839,??? ???????? ?,???,??? ???5? 40,37.5240097,127.0014496,14/12/2018,10,,LCD
840,?? ???? ?,???,??? ???? 67,37.52365112,126.9702683,14/10/2018,10,,LCD
841,???? 1? ??,???,??? ???? 100,37.52960968,126.9688721,12/10/2018,15,,LCD
843,???? ??,???,??? ???? 134,37.53379822,126.9886704,07/10/2018,10,,LCD
844,??2? ?????? ??? ?,???,??? ???14? 7,37.5271492,126.9551621,19/10/2018,11,,LCD
845,?? ????,???,??? ???3? 3-42,37.53269958,126.9643784,09/09/2018,22,,LCD
846,?????,???,  ??? ??? 260,37.54650116,126.9809494,14/12/2018,15,,LCD
847, ???????,???,"???3? 1?? ?,
 (????)",37.53452301,126.9775009,28/03/2020,,15 ,QR
848, ???12? ??,???,???1? 24-7 ,37.53488922,126.9756241,28/03/2020,,10 ,QR
849, ??? ?????,???,???1? 80-11 ,37.53607941,126.9734192,30/03/2020,,15 ,QR
850, KCC?????? ,???,???90? 90,37.53739929,126.9689255,28/03/2020,,15 ,QR
851,?? ???? ?,???,??? 260,37.54047775,126.9581146,28/03/2020,,10 ,QR
852,????APT(103?),???,??? 92-1 ,37.53452682,126.9471817,28/03/2020,,20 ,QR
853,??? ???,???,???2? 408-5 ,37.52856827,126.9656906,07/04/2020,,10 ,QR
854,HID ????? ?,???,???? 271,37.53872681,127.0015488,05/04/2020,,10 ,QR
855,???5??? ?,???, ???? 83,37.52272415,126.9727707,07/04/2020,,15 ,QR
857, ?? ????,???,???? 217,37.53502274,126.9980545,07/04/2020,,15 ,QR
858,????3? ??,???,???4? 1-1,37.53440857,126.9868927,07/04/2020,,7 ,QR
859,???? ????? ?,???,???? 259-16,37.54188538,126.9958649,05/04/2020,,10 ,QR
860,LG?? ????? ?,???,??? ??? 429 ,37.52069473,126.9709778,07/04/2020,,15 ,QR
863,???2? ??,???,???5? 17,37.52177048,126.977005,07/04/2020,,15 ,QR
864,???????(?????),???,??? 705-5 (????),37.53514099,127.0060043,05/04/2020,,10 ,QR
865,????? ?,???,"??? ? 10-138
 (???)",37.54079437,126.9978485,05/04/2020,,15 ,QR
866,????? ?????,???,??? 458,37.551548,126.9768601,30/03/2020,,10 ,QR
867,???? ??(1???),???,????241-14,37.51990891,126.9892349,07/04/2020,,10 ,QR
869,??? ?? ?,???,????? ??? ??? 303-8,37.51729584,126.9591446,03/04/2020,,10 ,QR
870,??? ?? ?,???,????? ??? ??? 304-11,37.51731873,126.9582977,03/04/2020,,10 ,QR
900,??????,???,????? ??? ??? 85-4,37.60394287,126.9276962,02/09/2016,20,,LCD
901,??1????,???,????? ??? ??? 84-14,37.60097504,126.9269562,02/09/2016,10,,LCD
902,??? ??????,???,????? ??? ??? 45-21,37.64310837,126.9182205,02/09/2016,10,,LCD
903,????? ????,???,????? ??? ??? 13-20,37.64586639,126.9273911,02/09/2016,20,,LCD
904,????? ????,???,????? ??? ??? 5-8,37.64867401,126.9307022,02/09/2016,18,,LCD
905,???? 2???,???,????? ??? ??? 86-31,37.63623428,126.9189987,12/12/2020,,9,QR
906,???? 5???150M ??,???,????? ??? ??? 207-8,37.61721039,126.9195786,02/09/2016,10,,LCD
907,CJ ????,???,????? ??? ??? 43-11,37.59949112,126.9168625,02/09/2016,10,,LCD
908,??? 4???,???,????? ??? ??? 536-8,37.61318588,126.9173508,02/09/2016,10,,LCD
909,??? ????? 3?,???,????? ??? ??? 761-9,37.58699417,126.9228821,02/09/2016,10,,LCD
911,??????(???4???),???,????? ??? ??? 153-31,37.60558319,126.9229355,02/09/2016,10,,LCD
912,?????,???,????? ??? ??? 604-5,37.58966064,126.9169464,02/09/2016,10,,LCD
913,??? ???,???,????? ??? ??? 90-15,37.60070038,126.9201279,02/09/2016,15,,LCD
914,??? 2???,???,????? ??? ??? 610-3,37.59079742,126.9136505,02/09/2016,20,,LCD
915,??? 4???,???,????? ??? ??? 199-8,37.5843811,126.9098969,02/09/2016,10,,LCD
