"","code","latitude","longitude","install_date","LCD","QR","type"
"225",858,37.534409,126.986893,2020-04-07,NA,7,"QR"
"226",859,37.541885,126.995865,2020-04-05,NA,10,"QR"
"227",860,37.520695,126.970978,2020-04-07,NA,15,"QR"
"228",863,37.52177,126.977005,2020-04-07,NA,15,"QR"
"229",864,37.535141,127.006004,2020-04-05,NA,10,"QR"
"230",865,37.540794,126.997849,2020-04-05,NA,15,"QR"
"231",866,37.551548,126.97686,2020-03-30,NA,10,"QR"
"232",867,37.519909,126.989235,2020-04-07,NA,10,"QR"
"233",868,37.53722,126.965019,2020-03-28,NA,12,"QR"
"234",869,37.517296,126.959145,2020-04-03,NA,10,"QR"
"235",870,37.517319,126.958298,2020-04-03,NA,10,"QR"
"236",4602,NA,NA,2020-10-29,NA,10,"QR"
"237",4604,NA,NA,2020-10-30,NA,10,"QR"
"238",4605,NA,NA,2020-10-30,NA,10,"QR"
"239",4616,NA,NA,2020-10-30,NA,15,"QR"
"240",4617,NA,NA,2020-10-30,NA,6,"QR"
"241",4618,NA,NA,2020-10-30,NA,10,"QR"
"242",4627,NA,NA,2020-10-29,NA,7,"QR"
"243",3511,37.55125,127.035103,2017-11-01,10,NA,"LCD"
"244",3513,37.56461,127.029198,2017-11-01,10,NA,"LCD"
"245",3514,37.566261,127.023697,2017-11-01,10,NA,"LCD"
"246",3515,37.542816,127.042084,2017-11-01,20,NA,"LCD"
"247",3525,37.546089,127.02507,2018-10-24,15,NA,"LCD"
"248",3527,37.56179,127.024391,2018-10-24,8,NA,"LCD"
"249",3530,37.560146,127.02636,2018-10-24,15,NA,"LCD"
"250",3531,37.554779,127.024841,2018-10-24,15,NA,"LCD"
"251",3532,37.56068,127.026779,2018-10-24,15,NA,"LCD"
"252",3538,37.550892,127.044762,2018-10-29,14,NA,"LCD"
"253",506,37.549061,127.057793,2015-10-07,7,NA,"LCD"
"254",507,37.548203,127.057114,2015-10-07,7,NA,"LCD"
"255",508,37.545166,127.05751,2015-10-07,10,NA,"LCD"
"256",509,37.539654,127.052589,2015-10-07,20,NA,"LCD"
"257",510,37.541222,127.0438,2015-10-07,10,NA,"LCD"
"258",511,37.544582,127.044609,2015-10-07,16,NA,"LCD"
"259",512,37.548561,127.045006,2015-10-07,15,NA,"LCD"
"260",513,37.546307,127.049805,2015-10-07,13,NA,"LCD"
"261",514,37.54258,127.063309,2015-10-07,7,NA,"LCD"
"262",518,37.571526,127.035355,2016-06-29,20,NA,"LCD"
"263",519,37.566994,127.029915,2016-06-29,20,NA,"LCD"
"264",520,37.563858,127.030319,2016-06-29,10,NA,"LCD"
"265",521,37.561447,127.03492,2016-06-29,14,NA,"LCD"
"266",522,37.548641,127.016426,2016-06-29,9,NA,"LCD"
"267",523,37.543663,127.014061,2016-06-29,11,NA,"LCD"
"268",524,37.5522,127.025055,2016-06-29,10,NA,"LCD"
"269",525,37.558052,127.040352,2016-06-29,20,NA,"LCD"
"270",526,37.563511,127.056725,2016-06-29,10,NA,"LCD"
"271",529,37.561371,127.06366,2016-06-29,15,NA,"LCD"
"272",530,37.568748,127.030403,2016-06-29,9,NA,"LCD"
"273",533,37.548149,127.021088,2016-06-29,7,NA,"LCD"
"274",534,37.548634,127.025726,2016-06-29,20,NA,"LCD"
"275",535,37.553986,127.033592,2016-06-29,16,NA,"LCD"
"276",536,37.55735,127.029213,2016-06-29,8,NA,"LCD"
"277",537,37.560356,127.041397,2016-06-29,10,NA,"LCD"
"278",538,37.56765,127.051155,2016-06-29,15,NA,"LCD"
"279",550,37.57164,127.03566,2021-01-25,NA,15,"QR"
"280",556,37.542053,127.020401,2016-07-06,20,NA,"LCD"
"281",557,37.567642,127.025696,2016-07-06,10,NA,"LCD"
"282",558,37.564606,127.036522,2016-07-06,20,NA,"LCD"
"283",559,37.561096,127.036797,2016-07-06,10,NA,"LCD"
"284",560,37.551205,127.068932,2016-07-06,8,NA,"LCD"
"285",561,37.542816,127.04467,2016-07-06,10,NA,"LCD"
"286",562,37.559246,127.07341,2016-07-06,10,NA,"LCD"
"287",563,37.547913,127.062752,2016-07-06,10,NA,"LCD"
"288",564,37.547928,127.015572,2016-07-06,15,NA,"LCD"
"289",565,37.541363,127.017662,2016-07-06,20,NA,"LCD"
"290",567,37.54459,127.057083,2016-07-06,15,NA,"LCD"
"291",568,37.571102,127.02356,2016-07-06,10,NA,"LCD"
"292",569,37.549583,127.030243,2016-07-06,10,NA,"LCD"
"293",578,37.548286,127.062088,2016-07-06,8,NA,"LCD"
"294",579,37.565205,127.041847,2016-07-06,8,NA,"LCD"
"295",581,37.561012,127.054237,2016-07-06,10,NA,"LCD"
"296",582,37.543179,127.04908,2016-07-06,10,NA,"LCD"
"297",583,37.56797,127.04689,2016-07-06,20,NA,"LCD"
"298",583,NA,NA,2020-06-30,NA,5,"QR"
"299",585,37.536808,127.055489,2016-09-02,9,NA,"LCD"
"300",586,37.565941,127.045395,2016-09-02,10,NA,"LCD"
"301",587,37.545418,127.052643,2016-09-20,10,NA,"LCD"
"302",589,37.544159,127.056656,2017-04-19,8,NA,"LCD"
"303",594,37.558365,127.056908,2017-08-28,15,NA,"LCD"
"304",3544,37.554539,127.043778,2020-04-13,NA,10,"QR"
"305",3545,37.55658,127.043358,2020-04-13,NA,10,"QR"
"306",3547,37.564381,127.02887,2020-04-14,NA,12,"QR"
"307",3548,37.546959,127.047669,2020-06-05,NA,10,"QR"
"308",3549,37.555141,127.071106,2020-05-11,NA,9,"QR"
"309",3550,37.544041,127.023201,2020-04-16,NA,20,"QR"
"310",3551,37.559799,127.056328,2020-04-14,NA,15,"QR"
"311",3552,37.541958,127.04277,2020-04-13,NA,10,"QR"
"312",3553,37.565979,127.043114,2020-04-14,NA,10,"QR"
"313",3555,37.566818,127.029152,2020-04-14,NA,20,"QR"
"314",3556,37.555313,127.019791,2020-04-15,NA,15,"QR"
"315",3557,37.55653,127.039131,2020-04-13,NA,8,"QR"
"316",3558,37.563396,127.04187,2020-04-14,NA,10,"QR"
"317",3559,37.54591,127.044601,2020-04-13,NA,10,"QR"
"318",3560,37.563709,127.05645,2020-04-14,NA,10,"QR"
"319",3561,37.559269,127.038399,2020-04-14,NA,10,"QR"
"320",3600,NA,NA,2020-07-03,NA,7,"QR"
"321",4353,NA,NA,2020-11-03,NA,8,"QR"
"322",4360,NA,NA,2020-11-03,NA,8,"QR"
"323",4362,NA,NA,2020-11-03,NA,8,"QR"
"324",3500,37.557587,127.079697,2017-11-01,8,NA,"LCD"
"325",3501,37.539501,127.083,2017-11-01,10,NA,"LCD"
"326",3502,37.565659,127.084297,2017-11-01,15,NA,"LCD"
"327",3503,37.550488,127.108955,2017-11-01,20,NA,"LCD"
"328",3504,37.538052,127.076599,2017-11-01,8,NA,"LCD"
"329",3505,37.535221,127.068398,2017-11-01,12,NA,"LCD"
"330",3506,37.537014,127.061096,2017-11-01,10,NA,"LCD"
"331",3507,37.545952,127.078003,2017-11-01,39,NA,"LCD"
"332",3508,37.548222,127.067879,2017-11-01,10,NA,"LCD"
"333",3509,37.553417,127.073196,2020-09-24,NA,20,"QR"
"334",3510,37.568649,127.08625,2018-03-23,10,NA,"LCD"
"335",3516,37.543705,127.093246,2017-11-28,10,NA,"LCD"
"336",3517,37.562527,127.082275,2017-11-28,10,NA,"LCD"
"337",3518,37.556862,127.07914,2017-11-28,8,NA,"LCD"
"338",3520,37.542519,127.084084,2018-02-26,10,NA,"LCD"
"339",3521,37.543427,127.096619,2018-02-26,10,NA,"LCD"
"340",3523,37.541718,127.08017,2018-04-16,10,NA,"LCD"
"341",3524,37.550236,127.073822,2018-04-09,15,NA,"LCD"
"342",3528,37.550598,127.110512,2018-10-29,8,NA,"LCD"
"343",3529,37.549789,127.075928,2018-10-31,15,NA,"LCD"
"344",3533,37.539139,127.070618,2018-10-29,10,NA,"LCD"
"345",3534,37.540138,127.069283,2018-10-29,12,NA,"LCD"
"346",3535,37.559158,127.087517,2018-10-29,10,NA,"LCD"
"347",3536,37.531811,127.080742,2018-10-29,10,NA,"LCD"
"348",3537,37.548489,127.093758,2018-10-29,15,NA,"LCD"
"349",3541,37.54504,127.089958,2018-11-14,20,NA,"LCD"
"350",3542,37.54504,127.089958,2018-11-14,17,NA,"LCD"
"351",500,37.54707,127.074272,2015-10-07,10,NA,"LCD"
"352",501,37.537308,127.070351,2015-10-07,30,NA,"LCD"
"353",502,37.53186,127.067192,2015-10-07,27,NA,"LCD"
"354",505,37.53701,127.082245,2015-10-07,10,NA,"LCD"
"355",515,37.530235,127.08683,2015-10-07,10,NA,"LCD"
"356",516,37.548405,127.069366,2015-10-07,10,NA,"LCD"
"357",539,37.559795,127.074203,2016-06-29,10,NA,"LCD"
"358",540,37.55603,127.078644,2016-06-29,8,NA,"LCD"
"359",542,37.535465,127.094482,2016-06-29,19,NA,"LCD"
"360",543,37.535969,127.094673,2020-09-02,NA,20,"QR"
"361",544,37.54073,127.102905,2016-06-29,20,NA,"LCD"
"362",546,37.532478,127.085091,2016-06-29,8,NA,"LCD"
"363",548,37.52977,127.07486,2016-06-29,20,NA,"LCD"
"364",549,37.551224,127.089706,2016-06-29,10,NA,"LCD"
"365",551,37.540062,127.094498,2016-07-06,10,NA,"LCD"
"366",552,37.536579,127.092972,2016-07-06,10,NA,"LCD"
"367",553,37.571255,127.079803,2016-07-06,19,NA,"LCD"
"368",555,37.537849,127.092171,2016-07-06,9,NA,"LCD"
"369",571,37.548496,127.07476,2016-07-06,20,NA,"LCD"
"370",572,37.56538,127.08651,2016-07-06,20,NA,"LCD"
"371",573,37.545231,127.084732,2016-07-06,10,NA,"LCD"
"372",574,37.551849,127.088982,2016-07-06,40,NA,"LCD"
"373",575,37.564293,127.086937,2016-07-06,10,NA,"LCD"
"374",576,37.54483,127.104263,2016-07-06,10,NA,"LCD"
"375",577,37.546547,127.106133,2016-07-06,10,NA,"LCD"
"376",584,37.547829,127.072632,2016-09-02,20,NA,"LCD"
"377",588,37.532688,127.067497,NA,NA,20,"QR"
"378",590,37.53989,127.073364,2017-08-30,20,NA,"LCD"
"379",591,37.542778,127.075371,2017-08-30,5,NA,"LCD"
"380",592,37.541912,127.077637,2017-08-30,30,NA,"LCD"
"381",593,37.528587,127.077873,2020-09-24,NA,5,"QR"
"382",3543,37.551373,127.07444,2019-12-16,15,NA,"LCD"
"383",3563,37.53651,127.091393,2020-06-09,NA,5,"QR"
"384",3564,37.547752,127.095757,2020-04-14,NA,20,"QR"
"385",3566,37.535072,127.076111,2020-04-14,NA,10,"QR"
"386",3569,37.539566,127.072441,2020-05-07,NA,10,"QR"
"387",3570,37.538097,127.08902,2020-04-14,NA,10,"QR"
"388",3571,37.54435,127.065407,2020-04-13,NA,15,"QR"
"389",3573,37.551338,127.076714,2020-04-13,NA,15,"QR"
"390",3575,37.536575,127.082581,2020-04-14,NA,6,"QR"
"391",3578,37.555008,127.085815,2020-04-14,NA,9,"QR"
"392",3579,37.54789,127.067452,2020-04-13,NA,20,"QR"
"393",3581,37.54747,127.073967,2020-04-16,NA,15,"QR"
"394",3582,37.547989,127.069504,2020-04-13,NA,14,"QR"
"395",3586,37.557713,127.077271,2020-04-14,NA,8,"QR"
"396",3587,NA,NA,2020-05-07,NA,15,"QR"
"397",3588,NA,NA,2020-05-07,NA,10,"QR"
"398",600,37.589912,127.06868,2016-06-29,13,NA,"LCD"
"399",601,37.575947,127.037361,2016-06-29,10,NA,"LCD"
"400",602,37.572174,127.071388,2016-06-29,10,NA,"LCD"
"401",604,37.569656,127.055962,2016-06-29,15,NA,"LCD"
"402",605,37.5742,127.026497,2016-06-29,8,NA,"LCD"
"403",606,37.584625,127.07029,2016-06-29,14,NA,"LCD"
"404",607,37.602711,127.067863,2016-06-29,10,NA,"LCD"
"405",608,37.58131,127.055344,2016-06-29,10,NA,"LCD"
"406",609,37.587791,127.037361,2016-06-29,20,NA,"LCD"
"407",610,37.573086,127.052162,2016-06-29,10,NA,"LCD"
"408",612,37.573666,127.030815,2016-06-29,20,NA,"LCD"
"409",613,37.575272,127.023468,2016-06-29,10,NA,"LCD"
"410",614,37.577686,127.031013,2016-06-29,20,NA,"LCD"
"411",615,37.576382,127.03511,2016-06-29,20,NA,"LCD"
"412",616,37.582561,127.054367,2016-06-29,20,NA,"LCD"
"413",617,37.574203,127.057693,2016-06-29,20,NA,"LCD"
"414",621,37.574718,127.053391,2016-07-06,13,NA,"LCD"
"415",622,37.577793,127.057831,2016-07-06,15,NA,"LCD"
"416",623,37.583698,127.053856,2016-07-06,20,NA,"LCD"
"417",624,37.574188,127.045891,2016-07-06,10,NA,"LCD"
"418",625,37.568192,127.057175,2016-07-06,14,NA,"LCD"
"419",626,37.561153,127.070969,2016-07-06,10,NA,"LCD"
"420",627,37.578632,127.071907,2016-07-06,10,NA,"LCD"
"421",628,37.586815,127.067543,2016-07-06,15,NA,"LCD"
"422",630,37.574852,127.040306,2016-07-06,15,NA,"LCD"
"423",631,37.568184,127.051277,2016-07-06,15,NA,"LCD"
"424",633,37.580406,127.044823,2016-07-06,8,NA,"LCD"
"425",634,37.59602,127.05983,2016-07-06,20,NA,"LCD"
"426",635,37.587517,127.052773,2016-07-06,12,NA,"LCD"
