month,code,office,rentals,returns
'201701','108',' ??? ???',246,198
'201701','503',' ?????? C? ?',246,224
'201701','504',' ?????????',232,261
'201701','505',' ????? ?????? ?',302,313
'201701','506',' ?? ??? ??? ?',72,77
'201701','507',' ?????????? ?',169,199
'201701','508',' ???????? ?',156,126
'201701','509',' ??? ????? ?',311,359
'201701','510',' ??? ?? ????? ?',52,67
'201701','511',' ???? 4? ?? ?',238,219
'201701','512',' ??? 1? ?? ?',303,310
'201701','109',' ???? ?',178,200
'201701','400',' ????????? 1? ?',124,153
'201701','513',' ??? 5? ?? ??? ?',181,232
'201701','514',' ????? ????? ?',281,328
'201701','515',' ????? ?',75,76
'201701','516',' ????? ?',170,178
'201701','300',' ?????',417,366
'201701','301',' ???? 7??? ?',220,223
'201701','302',' ???? 4??? ?',353,367
'201701','303',' ???? 1??? ?',288,257
'201701','115',' ???? ?? ?',325,265
'201701','304',' ???? 2??? ?',187,204
'201701','305',' ???? ?',305,391
'201701','306',' ???? 7??? ?',197,202
'201701','307',' ??????? ?',297,268
'201701','308',' ??? S?? ?',157,165
'201701','309',' ???? 6??? ?',165,180
'201701','310',' ???? ?',206,175
'201701','311',' ???? ?',445,383
'201701','312',' ??? 1??? ?',413,404
'201701','313',' ??? ?? ??? ?',181,222
'201701','110',' ???',94,80
'201701','314',' ???????',420,385
'201701','315',' ???? ????? ?',225,260
'201701','316',' ??? 1??? ?',386,389
'201701','318',' ????? ??',183,156
'201701','320',' ?????? 4??? ?',286,271
'201701','321',' KEB ???? ?? ?',199,193
'201701','322',' ???? ?',138,91
'201701','116',' ???????? ?',338,416
'201701','324',' ?????? ?? ?',238,232
'201701','326',' ??? 5??? ?',392,286
'201701','327',' ???? ?',250,306
'201701','328',' ???? ?',507,498
'201701','329',' ??2? ??? ?',329,332
'201701','330',' ??? ????',215,164
'201701','331',' ???2? ??? ??',152,168
'201701','332',' ???2? ??? ??',181,140
'201701','111',' ??? 2??? ?',233,196
'201701','334',' ??3?? 2??? ?',446,437
'201701','335',' ??3?? 15??? ?',222,227
'201701','336',' ??? ?? ?',334,276
'201701','337',' ??? ??',111,97
'201701','338',' ????? ?',457,539
'201701','339',' ??4? ???',504,484
'201701','340',' ??? ???',370,394
'201701','341',' ??? 3??? ?',352,312
'201701','342',' ??? ??????',390,450
'201701','343',' ????(???) ?',215,198
'201701','112',' ????? ?',282,327
'201701','344',' ???? E??? ?',267,325
'201701','345',' ???????? ?',250,307
'201701','346',' ???? ?',329,389
'201701','347',' ?????????? 9??? ?',284,276
'201701','349',' ???????',293,183
'201701','350','KEB ????(??? ??) ?',233,197
'201701','351',' ???? ? ???',204,198
'201701','352',' ????? ???',139,53
'201701','353',' ???? ? ???',133,159
'201701','117',' ?????',137,146
'201701','354',' ???? ??? ?',317,216
'201701','355',' ???????? ?',223,239
'201701','356',' KT???? ?',217,271
'201701','358',' ???? ???',659,613
'201701','359',' ??????',188,216
'201701','361',' ???? 1??? ?',233,293
'201701','362',' ??8? ???',300,260
'201701','363',' ???? 11??? ?',112,116
'201701','364',' ??? 1??? ?',166,126
'201701','113',' ????? 2??? ?',950,1201
'201701','367',' ???? 3-1??? ',133,125
'201701','368',' SK ???? ?',195,217
'201701','369',' ??? ??????',221,185
'201701','348',' ???? ???',141,137
'201701','370',' ???(2??) 9??? ?',174,177
'201701','371',' ????? 6??? ?',145,138
'201701','372',' ??? 3??? ?',87,104
'201701','373',' ?? ?????',19,14
'201701','374',' ??? 2??? ?',160,133
'201701','118',' ???? 2??? ?',329,307
'201701','375',' ?? ?????',171,191
'201701','377',' ??? 4??? ?',69,79
'201701','378',' ??7? ???',202,233
'201701','379',' ???9???',73,61
'201701','380',' CJ???? ?',183,168
'201701','381',' ?????',44,12
'201701','382',' ??? 10??? ?',78,89
'201701','383',' ??? 12? ?? ?',304,299
'201701','384',' ?????? ',92,60
'201701','114',' ????? 8??? ?',467,440
'201701','142',' ??? 4??? ?',178,164
'201701','143',' ??? 2???',193,249
'201701','144',' ??? 8???',315,414
'201701','145',' ??? 5???',177,191
'201701','146',' ??? 1??? ?',255,299
'201701','147',' ??? 4??? ?',194,318
'201701','148',' ??? ???? ?',176,162
'201701','150',' ???? 2??? ?',194,252
'201701','151',' ??1?????',104,168
'201701','152',' ???????? ?',253,357
'201701','119',' ???? ??',267,319
'201701','153',' ??2? ???',293,364
'201701','154',' ????? ',235,295
'201701','155',' ???1 ??? ?',110,121
'201701','156',' ???????? ?',169,231
'201701','157',' ???? 4??? ?',284,285
'201701','158',' ??? ??? ??',127,109
'201701','159',' ??? 4? ??',182,87
'201701','160',' ???? ????',153,154
'201701','161',' ????1? ??',56,55
'201701','162',' ?????? ?',328,135
'201701','120',' ??? ???',107,127
'201701','163',' ??????? ?? ?',71,87
'201701','164',' ???1? ???? ',118,88
'201701','165',' ??????',141,127
'201701','166',' ??? ????',212,235
'201701','167',' ?????? ?',88,18
'201701','168',' ???? ???',58,47
'201701','169',' ??? ???',111,109
'201701','170',' ??? ??? ??? ?',180,173
'201701','171',' ???? ?',228,223
'201701','172',' ??????',214,157
'201701','121',' ????? ?',205,194
'201701','173',' ???? 8??? ?',178,164
'201701','175',' ??2??',254,231
'201701','179',' ??? 4??? ?',185,211
'201701','180',' ???? 7??? ?',189,180
'201701','518',' ??? ??? ?',54,79
'201701','519',' ?????',152,124
'201701','520',' ????? 4? ?? ?',189,131
'201701','521',' ???? 11? ?? ?',158,173
'201701','522',' ??? 1??? ?',47,48
'201701','523',' ????? ?',6,2
'201701','122',' ?????? ?',233,225
'201701','524',' ????????? ??? 102? ?',48,43
'201701','525',' ????????',201,238
'201701','526',' ?????? ?',172,178
'201701','529',' ???? 8? ?? ?',311,360
'201701','530',' ??????? ?',145,129
'201701','533',' ???? ??? ?? ?',13,63
'201701','534',' ?????',53,37
'201701','535',' ?????',123,88
'201701','536',' ??? 2??? ?',162,150
'201701','537',' ?????? ??',187,170
'201701','123',' ??? ??',84,78
'201701','538',' ???? 8??? ?',168,218
'201701','550',' ?????? ?',132,146
'201701','539',' ??????',63,93
'201701','540',' ??? 7??? ???? ?',342,392
'201701','542',' ??? 4??? ?',102,65
'201701','543',' ????(????? ?)',98,61
'201701','544',' ?????',54,65
'201701','546',' ?????? ???',117,111
'201701','548',' ?????',201,200
'201701','549',' ???? 3???',224,269
'201701','124',' ??? ?? ???',342,248
'201701','600',' ??2? ????',129,136
'201701','601',' ???????',91,86
'201701','602',' ??? ???',309,355
'201701','604',' ??????? ? ??',82,73
'201701','605',' ????8???',65,82
'201701','606',' ?????',15,34
'201701','607',' ???? 2???',65,59
'201701','608',' ???????',90,95
'201701','609',' ??2?',190,228
'201701','125',' ??? ?? ?',312,371
'201701','610',' ???? ???',139,158
'201701','612',' ?????? ? ???',135,139
'201701','613',' ???? 10??? ?',230,203
'201701','614',' ??? ???',224,191
'201701','615',' ??? ?????????? ?',145,120
'201701','616',' ????? ?',99,28
'201701','617',' ??????? ?',139,154
'201701','227',' ??2??? ???? ??',94,128
'201701','228',' ???? 3??? ?',187,189
'201701','229',' ??1 ???? ?',195,183
'201701','126',' ??? ?? ?',473,470
'201701','231',' ???????? ??',104,110
'201701','232',' ???? ????? ?',411,380
'201701','233',' YP ?? ?',23,41
'201701','234',' ????????? ?',80,65
'201701','235',' ??? ???? ?',88,109
'201701','236',' ???????? ?',71,72
'201701','237',' ??? ???? ???',126,133
'201701','238',' ?2?????? ?',254,253
'201701','239',' ????? ?',207,211
'201701','240',' ??? 4??? ?',193,199
'201701','127',' ????? ?',175,109
'201701','241',' ????1???? ? ??',70,58
'201701','242',' ?????????? ?',126,147
'201701','243',' ??????? ?',97,100
'201701','244',' ???????? ?',246,289
'201701','245',' ???? ???? ?',139,167
'201701','247',' ??? 10??? ?',334,292
'201701','248',' ????? ?',99,82
'201701','249',' ?????? ?',60,68
'201701','250',' ????? ???',66,89
'201701','251',' ??????? ?????',62,67
'201701','101',' (?)??? ????',102,138
'201701','128',' ???(2??) 1??? ?',330,348
'201701','252',' ????4???',113,110
'201701','253',' ??? 5??? ??',215,155
'201701','254',' ???? ?',53,66
'201701','255',' ??4??',95,129
'201701','256',' ???????',51,49
'201701','257',' ?????(????)',158,231
'201701','258',' ???3???',152,241
'201701','259',' ???6???',354,410
'201701','700',' KB???? ??? ?? ?',75,87
'201701','701',' ????? ??',23,49
'201701','129',' ???(2??) 6??? ?',232,222
'201701','702',' ?4????? ?',28,44
'201701','703',' ???? 7??? ?',255,282
'201701','704',' ??????? ???',97,103
'201701','706',' ??????',80,83
'201701','707',' ??3?????',57,90
'201701','708',' ?????????? ?',186,196
'201701','709',' ??3? ????? ?',35,21
'201701','710',' ????????? ???',48,47
'201701','711',' ????????? ?',60,29
'201701','712',' ?????? ???',16,55
'201701','130',' ???(2??) 7??? ?',257,293
'201701','713',' ????? ?',13,8
'201701','714',' ??SGI ?????? ?',12,20
'201701','800',' ???? ?',161,208
'201701','802',' ???? 2? ?? ?',94,34
'201701','803',' ???? ? ????',24,53
'201701','805',' ??????? ?',144,232
'201701','806',' ???? ?? ?',117,109
'201701','807',' ??? 12? ?? ?',82,104
'201701','808',' ???? ???? ?',22,16
'201701','131',' ??2?',103,112
'201701','809',' ?? ??? ?????',103,121
'201701','810',' ???????',71,57
'201701','811',' ????1???',227,74
'201701','812',' ???????',50,76
'201701','813',' ???? 3???',84,81
'201701','815',' LIG????? 103??',65,96
'201701','385',' ??? 5???',329,325
'201701','386',' ????? ????? ?',261,190
'201701','387',' ???????? ?',118,129
'201701','181',' ????? ??',35,32
'201701','132',' ??????',162,143
'201701','182',' ??2????? ?',149,110
'201701','183',' ????????? ???',436,418
'201701','184',' SK?????? ???',233,267
'201701','185',' ?? ???? ?',244,186
'201701','186',' ?????',134,161
'201701','177',' ??? ????',62,98
'201701','188',' ??? ???? ??',94,89
'201701','191',' ????',57,79
'201701','192',' ???????',74,73
'201701','178',' ??3? ?',56,46
'201701','133',' ?????',105,117
'201701','194',' ??? ?',212,206
'201701','195',' ??????? ',203,121
'201701','196',' ????? ??',94,83
'201701','198',' ??2?',86,74
'201701','556',' ?????',30,22
'201701','557',' ??? ???? ?',166,178
'201701','558',' ???? ????? ?',195,192
'201701','134',' ??? ???',104,137
'201701','559',' ???? 4? ?? ???',216,192
'201701','560',' ???? ?',135,135
'201701','561',' ???? 2??? ?',221,166
'201701','562',' ?????? ?',177,135
'201701','563',' ????? ???',179,306
'201701','564',' ??? 3???',15,7
'201701','565',' ??? 3???',157,166
'201701','567',' ??? 2??? ?',463,338
'201701','568',' ??8???? ??',395,406
'201701','135',' ??? ???? ?',98,162
'201701','569',' ??????? ???',84,51
'201701','578',' ????? ??',174,179
'201701','579',' ??? 4???',166,139
'201701','580',' ???? 3??? ?',53,21
'201701','581',' ??????',120,111
'201701','582',' ????? ?',137,90
'201701','583',' ??? ???? ?',112,125
'201701','551',' ??????? ?',197,225
'201701','552',' ??????? ?',44,46
'201701','553',' ?? ??APT ?',113,94
'201701','136',' ??? ????',127,30
'201701','554',' ???? ???',184,125
'201701','555',' ??3?????',31,54
'201701','571',' ???????6???',230,219
'201701','572',' ???? ???? ?',86,76
'201701','573',' ?????? ?',307,286
'201701','574',' ????4???',139,101
'201701','575',' ???? ????',22,24
'201701','576',' ???? 3? ??',105,99
'201701','577',' ????????',115,128
'201701','621',' ?????? ?',29,21
'201701','137',' NH?? ???? ?',112,59
'201701','622',' ????? ???',158,242
'201701','623',' ????? ?? ?',450,295
'201701','624',' ??? ????? ?',178,232
'201701','625',' ??????? ?(???? ?)',111,121
'201701','626',' ??? ?? ???',82,77
'201701','627',' ?????? ???',97,106
'201701','628',' ?????? ?',50,47
'201701','630',' ???? ???',191,170
'201701','631',' ???? 1???',224,267
'201701','102',' ??? 1??? ?',415,348
'201701','138',' ??? ?1????? ?',212,171
'201701','633',' ??? ???? ?',253,298
'201701','634',' ???? ?? ?',226,256
'201701','635',' ??? ? (????? ?)',184,152
'201701','636',' ??????? ???',100,96
'201701','637',' KAIST ???? ?',98,112
'201701','638',' ????? ?????',102,157
'201701','639',' ????? ??',354,279
'201701','640',' KEB???? ??????',61,60
'201701','641',' ??? 4???',167,242
'201701','642',' ??? ???',121,93
'201701','140',' ???? ??',127,175
'201701','643',' ????????? (????)',61,113
'201701','230',' ?????? 1???',399,380
'201701','260',' ??? ?????? ?',54,51
'201701','262',' ?????? ???',219,265
'201701','263',' ????? ???',164,137
'201701','264',' ?????? ?',114,172
'201701','265',' ??????? ???',131,95
'201701','141',' ?? ???? ?',153,137
'201701','266',' ??????? ???',273,249
'201701','267',' ???? ?? ?',77,67
'201701','268',' ???????? ?',92,83
'201701','270',' ??????????',48,37
'201701','271',' ??????????? ?',126,74
'201701','272',' ?????',130,136
'201701','716','??6? ???? ??',134,141
'201701','139',' ??? ?? ???',123,60
'201701','719',' ????? ???',54,55
'201701','720',' ???????? ?',48,15
'201701','816',' ???? 6??? ?',200,233
'201701','817',' ???? 4??? ?',80,72
'201701','818',' ???? ?? ???',153,216
'201701','819',' ????? ????',132,141
'201701','820',' ????? ???',122,147
'201701','822',' ??1? ????',78,78
'201701','823',' ??????? ?',61,74
'201701','825',' ???? ???? ?',159,172
'201701','199',' ?? ??? ???',175,158
'201701','388',' ????? ?',161,146
'201701','584',' ???? ???',136,126
'201701','585',' ??2?1? ????? ??',93,75
'201701','586',' ??? ????',85,97
'201701','900',' ??????',154,200
'201701','901',' ??1????',175,137
'201701','200',' ??????',150,145
'201701','902',' ??? ??????',20,29
'201701','903',' ????? ????',86,95
'201701','904',' ????? ????',125,118
'201701','905',' ???? 2???',204,219
'201701','906',' ???? 5???150M ??',236,224
'201701','907',' CJ ????',325,429
'201701','908',' ??? 4???',111,124
'201701','909',' ??? ????? 3?',70,36
'201701','911',' ??????(???4???)',162,145
'201701','201',' ????? ?',208,190
'201701','912',' ?????',170,183
'201701','913',' ??? ???',274,258
'201701','914',' ??? 2???',191,256
'201701','915',' ??? 4???',134,174
'201701','916',' ????? ?',107,111
'201701','917',' ??? 4???',167,95
'201701','919',' ??????',73,74
'201701','921',' ??????',81,54
'201701','202',' ???? ?',308,377
'201701','922',' ???? 4???',62,60
'201701','923',' ???? ????',97,99
'201701','924',' ?????',27,35
'201701','925',' ??? 2???',60,34
'201701','926',' ??? 8???',196,177
'201701','927',' ???? 3??? ??',81,86
'201701','928',' ?????????',27,15
'201701','930',' ? ????? ???',14,19
'201701','931',' ?????',159,218
'201701','????','????',2,1
'201701','932',' ????',108,103
'201701','933',' LG??? ???',172,162
'201701','587',' KEB???? ??????',85,69
'201701','588',' ?? ????',48,49
'201701','103',' ??? 2??? ?',255,280
'201701','204',' ?????? 5??? ?',164,143
'201701','203',' ?????? 3??? ?',272,270
'201701','205',' ???? ?',163,182
'201701','206',' KBS ?',311,303
'201701','209',' ???????? ?',254,306
'201701','210',' IFC?',376,439
'201701','211',' ???? 4??? ?',571,476
'201701','212',' ???? 1??? ?',359,303
'201701','213',' KT?',495,398
'201701','104',' ??? 1??? ?',271,211
'201701','214',' ????? ?',192,150
'201701','218',' ????? ?',161,173
'201701','219',' ???????? ?',146,140
'201701','220',' ????? A? ?',184,167
'201701','215',' ????? ?',54,63
'201701','216',' ?????1? ?',384,357
'201701','217',' NH???? ?',248,300
'201701','221',' ????? ?',404,367
'201701','222',' ?????????? ?',340,379
'201701','223',' ??????? ?',316,338
'201701','105',' ??? 5??? ?',196,141
'201701','224',' ???? ?',416,415
'201701','225',' ????? ?',271,197
'201701','226',' ??? 1??? ?',179,138
'201701','207',' ????? 1??? ?',589,526
'201701','???? ???','???? ???',0,2
'201701','401',' ??????? 10?? ?',88,127
'201701','402',' ??????? 9?? ?',195,200
'201701','403',' ????? ?',137,57
'201701','106',' ??? 7??? ?',359,318
'201701','405',' DMC? ?',143,164
'201701','406',' ??????? 7?? ?',158,147
'201701','421',' ???? ?',446,476
'201701','407',' ??? ????????',101,127
'201701','408',' LG CNS?',225,238
'201701','420',' ??? ????? ????',112,131
'201701','409',' ?????? ?',422,465
'201701','419',' ???? ?',447,397
'201701','410',' ????? ?',108,65
'201701','418',' ??????? 3??? ?',228,265
'201701','107',' ???? ???????? ?',405,503
'201701','411',' DMC???',172,160
'201701','412',' DMC???????? ?',413,388
'201701','413',' ??????? 3?? ??',223,154
'201701','417',' DMC? 2??? ?',262,248
'201701','414',' ??????? ?',170,192
'201701','415',' DMC? 9??? ?',506,420
'201701','416',' ??????? 1?? ???',205,101
'201701','500',' ??????? 3??? ?',304,272
'201701','501',' ????? ?',316,312
'201701','502',' ?????? 1??? ?',415,469
'201702',,,0,199
'201702','108',' ??? ???',234,211
'201702','503',' ?????? C? ?',211,167
'201702','504',' ?????????',210,237
'201702','505',' ????? ?????? ?',294,283
'201702','506',' ?? ??? ??? ?',62,70
'201702','507',' ?????????? ?',114,131
'201702','508',' ???????? ?',124,119
'201702','509',' ??? ????? ?',307,307
'201702','510',' ??? ?? ????? ?',95,116
'201702','511',' ???? 4? ?? ?',318,328
'201702','512',' ??? 1? ?? ?',350,333
'201702','109',' ???? ?',193,213
'201702','400',' ????????? 1? ?',141,133
'201702','513',' ??? 5? ?? ??? ?',176,214
'201702','514',' ????? ????? ?',286,289
'201702','515',' ????? ?',84,95
'201702','516',' ????? ?',156,171
'201702','300',' ?????',445,351
'201702','301',' ???? 7??? ?',155,182
'201702','302',' ???? 4??? ?',376,376
'201702','303',' ???? 1??? ?',307,269
'201702','115',' ???? ?? ?',327,268
'201702','304',' ???? 2??? ?',209,239
'201702','305',' ???? ?',301,409
'201702','306',' ???? 7??? ?',191,180
'201702','307',' ??????? ?',252,224
'201702','308',' ??? S?? ?',157,166
'201702','309',' ???? 6??? ?',181,148
'201702','310',' ???? ?',202,181
'201702','311',' ???? ?',366,357
'201702','312',' ??? 1??? ?',333,313
'201702','313',' ??? ?? ??? ?',194,231
'201702','110',' ???',114,99
'201702','314',' ???????',374,388
'201702','315',' ???? ????? ?',226,237
'201702','316',' ??? 1??? ?',392,381
'201702','318',' ????? ??',161,140
'201702','320',' ?????? 4??? ?',270,267
'201702','321',' KEB ???? ?? ?',170,150
'201702','322',' ???? ?',120,101
'201702','116',' ???????? ?',295,362
'201702','324',' ?????? ?? ?',223,212
'201702','326',' ??? 5??? ?',407,223
'201702','327',' ???? ?',302,322
'201702','328',' ???? ?',386,418
'201702','329',' ??2? ??? ?',337,376
'201702','330',' ??? ????',192,147
'201702','331',' ???2? ??? ??',120,143
'201702','332',' ???2? ??? ??',140,120
'201702','111',' ??? 2??? ?',186,158
'201702','334',' ??3?? 2??? ?',390,406
'201702','335',' ??3?? 15??? ?',251,225
'201702','336',' ??? ?? ?',323,284
'201702','337',' ??? ??',155,159
'201702','338',' ????? ?',437,523
'201702','339',' ??4? ???',472,435
'201702','340',' ??? ???',355,361
'201702','341',' ??? 3??? ?',360,295
'201702','342',' ??? ??????',442,402
'201702','343',' ????(???) ?',153,176
'201702','112',' ????? ?',295,347
'201702','344',' ???? E??? ?',291,286
'201702','345',' ???????? ?',191,296
'201702','346',' ???? ?',348,408
'201702','347',' ?????????? 9??? ?',295,283
'201702','349',' ???????',276,210
'201702','350','KEB ????(??? ??) ?',185,189
'201702','351',' ???? ? ???',183,165
'201702','352',' ????? ???',126,63
'201702','353',' ???? ? ???',132,136
'201702','117',' ?????',136,139
'201702','354',' ???? ??? ?',276,192
'201702','355',' ???????? ?',208,251
'201702','356',' KT???? ?',247,267
'201702','358',' ???? ???',547,528
'201702','359',' ??????',208,203
'201702','361',' ???? 1??? ?',239,274
'201702','362',' ??8? ???',276,223
'201702','363',' ???? 11??? ?',111,80
'201702','364',' ??? 1??? ?',133,78
'201702','113',' ????? 2??? ?',1106,1302
'201702','367',' ???? 3-1??? ',99,100
'201702','368',' SK ???? ?',164,185
'201702','369',' ??? ??????',200,168
'201702','348',' ???? ???',124,132
'201702','370',' ???(2??) 9??? ?',206,181
'201702','371',' ????? 6??? ?',179,181
'201702','372',' ??? 3??? ?',110,123
'201702','373',' ?? ?????',20,14
'201702','374',' ??? 2??? ?',121,133
'201702','118',' ???? 2??? ?',319,266
'201702','375',' ?? ?????',181,176
'201702','377',' ??? 4??? ?',80,100
'201702','378',' ??7? ???',221,208
'201702','379',' ???9???',93,80
'201702','380',' CJ???? ?',211,211
'201702','381',' ?????',38,18
'201702','382',' ??? 10??? ?',71,87
'201702','383',' ??? 12? ?? ?',363,333
'201702','384',' ?????? ',115,91
'201702','114',' ????? 8??? ?',339,362
'201702','142',' ??? 4??? ?',170,162
'201702','143',' ??? 2???',163,241
'201702','144',' ??? 8???',321,426
'201702','145',' ??? 5???',201,191
'201702','146',' ??? 1??? ?',254,334
'201702','147',' ??? 4??? ?',192,309
'201702','148',' ??? ???? ?',166,198
'201702','150',' ???? 2??? ?',161,205
'201702','151',' ??1?????',111,173
'201702','152',' ???????? ?',271,389
'201702','119',' ???? ??',261,266
'201702','153',' ??2? ???',312,397
'201702','154',' ????? ',223,220
'201702','155',' ???1 ??? ?',133,111
'201702','156',' ???????? ?',194,226
'201702','157',' ???? 4??? ?',202,254
'201702','158',' ??? ??? ??',179,147
'201702','159',' ??? 4? ??',197,103
'201702','160',' ???? ????',162,138
'201702','161',' ????1? ??',57,61
'201702','162',' ?????? ?',296,132
'201702','120',' ??? ???',112,110
'201702','163',' ??????? ?? ?',98,101
'201702','164',' ???1? ???? ',120,81
'201702','165',' ??????',140,126
'201702','166',' ??? ????',232,235
'201702','167',' ?????? ?',78,15
'201702','168',' ???? ???',37,33
'201702','169',' ??? ???',107,73
'201702','170',' ??? ??? ??? ?',225,260
'201702','171',' ???? ?',210,251
'201702','172',' ??????',175,119
'201702','121',' ????? ?',174,167
'201702','173',' ???? 8??? ?',194,209
'201702','175',' ??2??',311,264
'201702','179',' ??? 4??? ?',243,293
'201702','180',' ???? 7??? ?',213,162
'201702','518',' ??? ??? ?',47,60
'201702','519',' ?????',144,121
'201702','520',' ????? 4? ?? ?',125,114
'201702','521',' ???? 11? ?? ?',140,174
'201702','522',' ??? 1??? ?',50,55
'201702','523',' ????? ?',22,11
'201702','122',' ?????? ?',261,254
'201702','524',' ????????? ??? 102? ?',58,33
'201702','525',' ????????',328,317
'201702','526',' ?????? ?',117,125
'201702','529',' ???? 8? ?? ?',218,240
'201702','530',' ??????? ?',95,121
'201702','533',' ???? ??? ?? ?',24,51
'201702','534',' ?????',47,54
'201702','535',' ?????',91,70
'201702','536',' ??? 2??? ?',150,149
'201702','537',' ?????? ??',195,192
'201702','123',' ??? ??',76,74
'201702','538',' ???? 8??? ?',148,158
'201702','550',' ?????? ?',120,132
'201702','539',' ??????',72,96
'201702','540',' ??? 7??? ???? ?',345,374
'201702','542',' ??? 4??? ?',101,77
'201702','543',' ????(????? ?)',79,71
'201702','544',' ?????',87,89
'201702','546',' ?????? ???',95,103
'201702','548',' ?????',206,203
'201702','549',' ???? 3???',176,208
'201702','124',' ??? ?? ???',308,260
'201702','600',' ??2? ????',156,141
'201702','601',' ???????',85,63
'201702','602',' ??? ???',298,377
'201702','604',' ??????? ? ??',93,89
'201702','605',' ????8???',79,106
'201702','606',' ?????',40,56
'201702','607',' ???? 2???',59,68
'201702','608',' ???????',48,75
'201702','609',' ??2?',163,171
'201702','125',' ??? ?? ?',255,283
'201702','610',' ???? ???',107,97
'201702','612',' ?????? ? ???',105,129
'201702','613',' ???? 10??? ?',225,216
'201702','614',' ??? ???',218,219
'201702','615',' ??? ?????????? ?',118,79
'201702','616',' ????? ?',90,36
'201702','617',' ??????? ?',152,151
'201702','227',' ??2??? ???? ??',75,131
'201702','228',' ???? 3??? ?',211,178
'201702','229',' ??1 ???? ?',169,165
'201702','126',' ??? ?? ?',363,327
'201702','231',' ???????? ??',97,73
'201702','232',' ???? ????? ?',358,325
'201702','233',' YP ?? ?',18,39
'201702','234',' ????????? ?',58,49
'201702','235',' ??? ???? ?',94,111
'201702','236',' ???????? ?',51,52
'201702','237',' ??? ???? ???',137,158
'201702','238',' ?2?????? ?',219,219
'201702','239',' ????? ?',177,157
'201702','240',' ??? 4??? ?',170,194
'201702','127',' ????? ?',194,111
'201702','241',' ????1???? ? ??',59,51
'201702','242',' ?????????? ?',148,156
'201702','243',' ??????? ?',93,85
'201702','244',' ???????? ?',245,291
'201702','245',' ???? ???? ?',174,192
'201702','247',' ??? 10??? ?',348,344
'201702','248',' ????? ?',110,120
'201702','249',' ?????? ?',72,96
'201702','250',' ????? ???',80,78
'201702','251',' ??????? ?????',69,75
'201702','101',' (?)??? ????',113,154
'201702','128',' ???(2??) 1??? ?',345,308
'201702','252',' ????4???',190,167
'201702','253',' ??? 5??? ??',186,141
'201702','254',' ???? ?',49,63
'201702','255',' ??4??',72,115
'201702','256',' ???????',62,51
'201702','257',' ?????(????)',198,213
'201702','258',' ???3???',138,150
'201702','259',' ???6???',366,350
'201702','700',' KB???? ??? ?? ?',80,88
'201702','701',' ????? ??',18,38
'201702','129',' ???(2??) 6??? ?',225,186
'201702','702',' ?4????? ?',49,58
'201702','703',' ???? 7??? ?',258,270
'201702','704',' ??????? ???',50,85
'201702','706',' ??????',68,52
'201702','707',' ??3?????',61,68
'201702','708',' ?????????? ?',146,164
'201702','709',' ??3? ????? ?',32,15
'201702','710',' ????????? ???',28,28
'201702','711',' ????????? ?',27,24
'201702','712',' ?????? ???',19,38
'201702','130',' ???(2??) 7??? ?',206,243
'201702','713',' ????? ?',18,18
'201702','714',' ??SGI ?????? ?',26,26
'201702','800',' ???? ?',150,202
'201702','802',' ???? 2? ?? ?',113,27
'201702','803',' ???? ? ????',34,43
'201702','805',' ??????? ?',134,187
'201702','806',' ???? ?? ?',114,85
'201702','807',' ??? 12? ?? ?',128,144
'201702','808',' ???? ???? ?',44,55
'201702','131',' ??2?',121,131
'201702','809',' ?? ??? ?????',158,192
'201702','810',' ???????',79,78
'201702','811',' ????1???',225,91
'201702','812',' ???????',121,125
'201702','813',' ???? 3???',123,119
'201702','815',' LIG????? 103??',74,115
'201702','385',' ??? 5???',366,348
'201702','386',' ????? ????? ?',251,205
'201702','387',' ???????? ?',140,132
'201702','181',' ????? ??',47,47
'201702','132',' ??????',171,183
'201702','182',' ??2????? ?',162,158
'201702','183',' ????????? ???',406,384
'201702','184',' SK?????? ???',187,246
'201702','185',' ?? ???? ?',201,154
'201702','186',' ?????',330,359
'201702','177',' ??? ????',54,73
'201702','188',' ??? ???? ??',93,95
'201702','191',' ????',115,122
'201702','192',' ???????',94,91
'201702','178',' ??3? ?',75,50
'201702','133',' ?????',108,113
'201702','194',' ??? ?',278,237
'201702','195',' ??????? ',208,141
'201702','196',' ????? ??',111,80
'201702','198',' ??2?',106,93
'201702','556',' ?????',50,51
'201702','557',' ??? ???? ?',160,176
'201702','558',' ???? ????? ?',184,178
'201702','134',' ??? ???',106,132
'201702','559',' ???? 4? ?? ???',216,193
'201702','560',' ???? ?',112,101
'201702','561',' ???? 2??? ?',161,129
'201702','562',' ?????? ?',155,143
'201702','563',' ????? ???',180,282
'201702','564',' ??? 3???',15,8
'201702','565',' ??? 3???',202,236
'201702','567',' ??? 2??? ?',377,272
'201702','568',' ??8???? ??',336,376
'201702','135',' ??? ???? ?',81,134
'201702','569',' ??????? ???',61,27
'201702','578',' ????? ??',149,176
'201702','579',' ??? 4???',152,131
'201702','580',' ???? 3??? ?',56,21
'201702','581',' ??????',93,97
'201702','582',' ????? ?',99,55
'201702','583',' ??? ???? ?',201,216
'201702','551',' ??????? ?',182,202
'201702','552',' ??????? ?',48,51
'201702','553',' ?? ??APT ?',132,114
'201702','136',' ??? ????',105,20
'201702','554',' ???? ???',180,116
'201702','555',' ??3?????',31,39
'201702','571',' ???????6???',222,209
'201702','572',' ???? ???? ?',82,69
